,Endereco,LATITUDE,LONGITUDE
11696,"rua antonio cesar casagrande, PILARZINHO, Curitiba",-25.3928115,-49.2885092
11697,"rua antonio portela, SANTA FELICIDADE, Curitiba",-25.4194293,-49.3377681
11698,"rua josé correia sérgio, FAZENDINHA, Curitiba",-25.4781002,-49.313692
11699,"rua catarina scotti, NOVO MUNDO, Curitiba",-25.4925271,-49.2918982
11700,"rua adolfo ancay, CAMPO DE SANTANA, Curitiba",-25.5872961,-49.3397073
11701,"rua pedro bellon, CAJURU, Curitiba",-25.4496661,-49.20761719999999
11702,"rua angela dall  osto vizoli, SÃO BRAZ, Curitiba",-25.4096348,-49.35331980000001
11703,"rua joão kowal, CIDADE INDUSTRIAL, Curitiba",-25.5143294,-49.3237131
11704,"rua josé vieira de paula, SÍTIO CERCADO, Curitiba",-25.5390605,-49.2607243
11705,"rua lizímaco serapião, NOVO MUNDO, Curitiba",-25.4865267,-49.291742
11706,"rua curupaitis, GANCHINHO, Curitiba",-25.4630129,-49.3051723
11707,"rua josé luiz demeterco, MERCÊS, Curitiba",-25.4165867,-49.280468
11708,"rua darci alcides freitas(cajuru), CAJURU, Curitiba",-25.4514952,-49.1996532
11709,"rua marginal do rio iguaçu, CAJURU, Curitiba",-25.9721109,-51.8158003
11710,"rua rosa ferro cumin, SANTA FELICIDADE, Curitiba",-25.4043347,-49.3325704
11711,"rua maria teixeira de mello, SANTA CÂNDIDA, Curitiba",-25.3686483,-49.214126
11712,"rua emma siglinda da silva, CIDADE INDUSTRIAL, Curitiba",-25.529318,-49.3330717
11713,"rua santo antonio tortato, UBERABA, Curitiba",-25.5718514,-49.3050676
11714,"rua josé araújo filho, BOQUEIRÃO, Curitiba",-25.5117357,-49.2471071
11715,"rua julio bartolomeu taborda luiz, ATUBA, Curitiba",-25.3911194,-49.2111345
11716,"rua júlio fleming, PORTÃO, Curitiba",-25.4540214,-49.2966451
11717,"rua cicero jaime bley, BACACHERI, Curitiba",-25.3977081,-49.2316092
11718,"rua silveira peixoto  a, BATEL, Curitiba",-25.4452933,-49.2852469
11719,"rua toaldo tulio, SÃO BRAZ, Curitiba",-25.4808762,-49.3044253
11720,"rua lineu ferreira do amaral, BOQUEIRÃO, Curitiba",-25.4922678,-49.2462587
11721,"rua anna ciupka, CAMPINA DO SIQUEIRA, Curitiba",-25.4390401,-49.3154052
11722,"rua goiabas, UBERABA, Curitiba",-25.4718488,-49.213134
11723,"rua antonio scheidt, SANTA CÂNDIDA, Curitiba",-25.3702748,-49.209913
11724,"rua ivete maria vargas, SÃO BRAZ, Curitiba",-25.4248866,-49.3464168
11725,"rua deputado fernando ferrari, SÃO LOURENÇO, Curitiba",-25.4020698,-49.2731915
11726,"rua levi alves cordeiro, CAJURU, Curitiba",-22.0693941,-42.3347949
11727,"rua anibal cury, TATUQUARA, Curitiba",50.046162,-5.249872
11728,"rua itambe, SÍTIO CERCADO, Curitiba",-25.5554779,-49.25448859999999
11729,"rua cinco mil, TATUQUARA, Curitiba",-25.5647384,-49.3282697
11730,"rua miguel angelo pelanda, GANCHINHO, Curitiba",-25.5937137,-49.2718016
11731,"rua nossa senhora de fátima, CAPÃO DA IMBUIA, Curitiba",-25.4372863,-49.2278289
11732,"rua afonso theolindo hennequim, GUABIROTUBA, Curitiba",-25.4705332,-49.2403354
11733,"rua joão winter, XAXIM, Curitiba",-25.5185359,-49.2582152
11734,"rua deputado sinval martins de araujo, GANCHINHO, Curitiba",-25.5528004,-49.2463029
11735,"rua genesio de souza nunes, CAJURU, Curitiba",-25.4553957,-49.2038984
11736,"rua nathalia bozza, UMBARÁ, Curitiba",-25.5664799,-49.2828887
11737,"rua doutor heitor baggio, CIDADE INDUSTRIAL, Curitiba",-25.5040612,-49.3353156
11738,"rua rua strobel pinto, CIDADE INDUSTRIAL, Curitiba",-25.48512,-49.3545069
11739,"rua isaac kriger, XAXIM, Curitiba",-25.5235038,-49.2637625
11740,"rua irma anatolia, ABRANCHES, Curitiba",-25.3588187,-49.2684945
11741,"rua pedro soares, SANTA CÂNDIDA, Curitiba",-25.3690362,-49.2364955
11742,"rua rua central, CAJURU, Curitiba",-25.4601547,-49.2132111
11743,"rua sebastiana rodrigues, CIDADE INDUSTRIAL, Curitiba",-25.5063776,-49.3398198
11744,"rua altamiro machado, SANTA FELICIDADE, Curitiba",-25.4194423,-49.3393245
11745,"rua pinhelão, SÍTIO CERCADO, Curitiba",-25.5443488,-49.26656209999999
11746,"rua jose zaleski, CIDADE INDUSTRIAL, Curitiba",-25.5016124,-49.3068258
11747,"rua engenheiro josé, CIDADE INDUSTRIAL, Curitiba",-25.5015668,-49.3449322
11748,"rua marco aurélio malucelli, SANTO INÁCIO, Curitiba",-25.4292613,-49.3430866
11749,"rua cesário kuroski, CIDADE INDUSTRIAL, Curitiba",-25.4601234,-49.3469194
11750,"rua deputado waldemiro pedroso, PORTÃO, Curitiba",-25.4925977,-49.3031071
11751,"rua brasilio itibere, REBOUÇAS, Curitiba",-25.4450551,-49.2637305
11752,"rua constantino alves dos reis, TARUMÃ, Curitiba",-25.4304168,-49.23398450000001
11753,"rua maria aparecida de lima santos, ALTO BOQUEIRÃO, Curitiba",-25.5379973,-49.2367161
11754,"rua curt roters, BOQUEIRÃO, Curitiba",-25.5201837,-49.2446064
