,Endereco,LATITUDE,LONGITUDE
201,"rua doutor benedicto siqueira branco, ALTO BOQUEIRÃO, Curitiba",-25.53427,-49.240236
202,"rua gilberto pinto mileo, CIDADE INDUSTRIAL, Curitiba",-25.5011686,-49.3144804
203,"rua bento gonçalves, CAJURU, Curitiba",-25.4509231,-49.2217216
204,"rua marco campos, CIDADE INDUSTRIAL, Curitiba",-25.5318857,-49.3392432
205,"rua  visconde do serro frio, NOVO MUNDO, Curitiba",-25.4862954,-49.3010481
206,"rua general potiguara, FAZENDINHA, Curitiba",-25.4864615,-49.3197134
207,"rua  fredolin wolf, SÃO JOÃO, Curitiba",-25.3847796,-49.3090743
208,"rua dos pioneiros, SÍTIO CERCADO, Curitiba",-25.5345335,-49.26999139999999
209,"rua paula gomes, CENTRO, Curitiba",-25.4244893,-49.2749641
210,"rua ouro verde, CAPÃO RASO, Curitiba",-25.5077029,-49.3009607
211,"rua maria de lourdes mickosz, ATUBA, Curitiba",-25.3749964,-49.2785387
212,"rua maria de lourdes mickosz, ABRANCHES, Curitiba",-25.3749964,-49.2785387
213,"rua nestor de castro, CENTRO, Curitiba",-25.4283558,-49.2727099
214,"rua  mani zir bourges, PINHEIRINHO, Curitiba",-25.5244572,-49.2672311
215,"rua victor ferreira do amaral, TARUMÃ, Curitiba",-25.4292786,-49.22198179999999
216,"rua  pastor waldomiro bileski, SÍTIO CERCADO, Curitiba",-25.5429877,-49.2613677
217,"rua visconde de guarapuava, ALTO DA RUA XV, Curitiba",-25.4298873,-49.2511027
218,"rua  república argentina, NOVO MUNDO, Curitiba",-25.4713135,-49.29432629999999
219,"rua guilherme janz, MOSSUNGUÊ, Curitiba",-25.4418668,-49.3293788
220,"rua helena c s correa, PINHEIRINHO, Curitiba",-25.5187346,-49.282731
221,"rua jaime reis, SÃO FRANCISCO, Curitiba",-25.4263896,-49.2768453
222,"rua macapá, TINGUI, Curitiba",-25.3815969,-49.2251169
223,"rua santa anastásia, CAJURU, Curitiba",-25.4442806,-49.2140729
224,"rua josé julio tortato, CAMPO DE SANTANA, Curitiba",-25.602566,-49.315489
225,"rua  madre emilia riquelme, SÍTIO CERCADO, Curitiba",-25.5441622,-49.2771122
226,"rua natal, CAJURU, Curitiba",-25.4543716,-49.209005
227,"rua mariano torres, CENTRO, Curitiba",-25.431386,-49.2621927
228,"rua  prefeito lothário meissner, JARDIM BOTÂNICO, Curitiba",-25.444067,-49.2388825
229,"rua  joão mequetti, SANTA CÂNDIDA, Curitiba",-25.376755,-49.2378355
230,"rua adir josé frason, CIDADE INDUSTRIAL, Curitiba",-25.4353363,-49.3630672
231,"rua  jovenilson américo de oliveira, TATUQUARA, Curitiba",-25.560451,-49.3305674
232,"rua inacio lustosa, CENTRO, Curitiba",-25.4233618,-49.2757957
233,"rua theodoro alves, CAJURU, Curitiba",-25.4942057,-49.2047968
234,"rua euclides bandeira, CENTRO CÍVICO, Curitiba",-25.4133879,-49.2703932
235,"rua prudente de moraes, LINDÓIA, Curitiba",-25.4279544,-49.283546
236,"rua  república argentina, CAPÃO RASO, Curitiba",-25.494944,-49.2942488
237,"rua afonso lipinski, BIGORRILHO, Curitiba",-25.4331484,-49.3439262
238,"rua  jornalista aderbal g stresser, CAJURU, Curitiba",-25.4728564,-49.1987211
239,"rua visconde de abaeté, BAIRRO ALTO, Curitiba",-25.4267006,-49.20220440000001
240,"rua antonio rebelatto, XAXIM, Curitiba",-25.4943024,-49.2625409
241,"rua joão parize, SÃO BRAZ, Curitiba",-25.4098714,-49.339125
242,"rua do xisto br-476, PINHEIRINHO, Curitiba",-25.7631786,-49.73725
243,"rua francisco josé lobo, SÍTIO CERCADO, Curitiba",-25.5310148,-49.2744846
244,"rua said joão sallum, BAIRRO ALTO, Curitiba",-25.4160415,-49.21178140000001
245,"rua anita garibaldi, CENTRO, Curitiba",-25.3805505,-49.2614333
246,"rua república argentina, ÁGUA VERDE, Curitiba",-25.4598066,-49.2893373
247,"rua tophile kogempa, CAJURU, Curitiba",-25.4629159,-49.195671
248,"rua  padre anchieta, CAMPINA DO SIQUEIRA, Curitiba",-25.4346234,-49.3030647
249,"rua elizeu valentin de lima, CAMPO DE SANTANA, Curitiba",-25.5848434,-49.3211631
250,"rua augusto dias paredes, BOQUEIRÃO, Curitiba",-25.5023823,-49.2228303
251,"rua paraná, BOA VISTA, Curitiba",-25.3886823,-49.2334685
252,"rua josé galeski, CAPÃO RASO, Curitiba",-25.5128341,-49.30268599999999
253,"rua izaac ferreira da cruz, SÍTIO CERCADO, Curitiba",-25.5359612,-49.272154
254,"rua rio araguari, BAIRRO ALTO, Curitiba",-25.4016328,-49.20234
255,"rua deputado benedito lúcio machado, XAXIM, Curitiba",-25.5063538,-49.2758378
256,"rua jacob bertinato, ALTO DA RUA XV, Curitiba",-25.4310058,-49.2371096
257,"rua clávio molinari, CAPÃO DA IMBUIA, Curitiba",-25.4396,-49.2114482
258,"rua luiz leal da rocha, CAMPO DE SANTANA, Curitiba",-25.5813704,-49.324136
259,"rua  velha do barigui, CIDADE INDUSTRIAL, Curitiba",-25.4942291,-49.3450126
260,"rua  santo inácio, CIDADE INDUSTRIAL, Curitiba",-25.500517,-49.321574
261,"rua indefinido, BOQUEIRÃO, Curitiba",-25.5030083,-49.2367172
262,"rua capiberibe, BOQUEIRÃO, Curitiba",-25.4636878,-49.3036363
263,"rua zacarias gomes de souza, UBERABA, Curitiba",-25.4881825,-49.207207
264,"rua praça colégio benedito, BOA VISTA, Curitiba",-25.3886823,-49.2334685
265,"rua presidente wenceslau braz, PORTÃO, Curitiba",-25.478438,-49.2880143
266,"rua pelegrino azzolin (o pedreiro artista), GANCHINHO, Curitiba",-25.5572204,-49.2484204
267,"rua andre de barros, CENTRO, Curitiba",-25.4347863,-49.26866709999999
268,"rua nicolau salomão, TINGUI, Curitiba",-25.3845345,-49.2247488
269,"rua quadra 15, TATUQUARA, Curitiba",-25.5647384,-49.3282697
270,"rua cabral, CENTRO CÍVICO, Curitiba",-25.4174893,-49.2687071
271,"rua  waldemar kost, HAUER, Curitiba",-25.4852738,-49.2526187
272,"rua manoel valdomiro de macedo, CIDADE INDUSTRIAL, Curitiba",-25.5142532,-49.3182753
273,"rua professor ulisses vieira, VILA IZABEL, Curitiba",-25.4607224,-49.2977864
274,"rua francisco de paula sobrinho, CAJURU, Curitiba",-25.4709955,-49.1999997
275,"rua waldemar pereira da silva, UBERABA, Curitiba",-25.5012563,-49.21578179999999
